model_name,best_params,n_train,n_test,log_mse,log_r2,real_mae,mdape,timestamp,git_commit
dummy,{},212,54,3.1742295583457603,-0.00802824291784976,71570.17925545176,80.02127637495813,2026-08-09T02:16:28,f82a181
ridge,"{""model__alpha"": 1.0}",212,54,2.8393830756805567,0.09830770581048742,76303.14267915298,77.34995810849652,2026-08-09T02:16:28,f82a181
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_iter"": 300}",212,54,2.044654321238989,0.35068675250852155,62764.02814991097,81.77514880408012,2026-08-09T02:16:28,f82a181
dummy,{},212,54,3.3741327835904737,-0.0012903377380875103,71747.7292619552,81.44317251159721,2026-08-09T11:27:03,f5b2c9f
ridge,"{""model__alpha"": 1.0}",212,54,1.7928747367453701,0.4679556894119723,65142.74298646456,72.91604339341866,2026-08-09T11:27:03,f5b2c9f
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_iter"": 100}",212,54,2.0976400462839875,0.3775150994023372,69331.0524174864,82.95123989706809,2026-08-09T11:27:03,f5b2c9f
dummy,{},175,48,2.981294878741995,-0.04666236962913506,78099.52372976311,74.06692871649847,2026-08-09T11:51:44,53a0cb7
ridge,"{""model__alpha"": 1.0}",175,48,2.8406672948763974,0.002708660795770479,82667.38775611042,83.06822810696627,2026-08-09T11:51:44,53a0cb7
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_iter"": 100}",175,48,2.6620079506030696,0.06543174597827839,78418.5495718813,82.37652878967559,2026-08-09T11:51:44,53a0cb7
dummy,{},324,81,3.5710924169630656,-0.012817088717133496,59632.94892134698,83.52706975075623,2026-08-09T12:20:32,cfbbc28
ridge,"{""model__alpha"": 1.0}",324,81,2.889710406131716,0.18043339711076423,65321.817921886155,88.2283155357041,2026-08-09T12:20:32,cfbbc28
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_iter"": 300}",324,81,2.7757255509464995,0.21276126648713634,55573.46641976668,89.70932487668108,2026-08-09T12:20:32,cfbbc28
dummy,{},324,81,3.5710924169630656,-0.012817088717133496,59632.94892134698,83.52706975075623,2026-08-09T12:30:07,f5f33b6
ridge,"{""model__alpha"": 1.0}",324,81,2.889694573928025,0.18043788736880795,65321.13467008904,88.22798106055411,2026-08-09T12:30:07,f5f33b6
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_iter"": 300}",324,81,2.7757255509464995,0.21276126648713634,55573.46641976668,89.70932487668108,2026-08-09T12:30:07,f5f33b6
dummy,{},1382,292,3.7646461671993148,-0.006240553302742757,27291.403932182162,91.53178946978629,2026-08-09T12:38:32,f5f33b6
ridge,"{""model__alpha"": 1.0}",1382,292,1.8813601429838662,0.49713710474783523,24603.18482338936,66.82453429419728,2026-08-09T12:38:32,f5f33b6
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_iter"": 100}",1382,292,1.6196590133668605,0.5670863849113079,23114.241473142734,65.32446273830854,2026-08-09T12:38:32,f5f33b6
dummy,{},1382,292,3.7646461671993148,-0.006240553302742757,27291.403932182162,91.53178946978629,2026-08-09T13:12:31,c8bf59f
ridge,"{""model__alpha"": 10.0}",1382,292,1.7772097748356823,0.524975132391766,22645.96689667903,71.91496260616144,2026-08-09T13:12:31,c8bf59f
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_iter"": 100}",1382,292,1.6196590133668605,0.5670863849113079,23114.241473142734,65.32446273830854,2026-08-09T13:12:31,c8bf59f
dummy,{},1382,292,3.7646461671993148,-0.006240553302742757,27291.403932182162,91.53178946978629,2026-08-09T13:20:13,c074d6b
ridge,"{""model__alpha"": 1.0}",1382,292,1.904202975532744,0.4910315151539838,24889.46817076177,69.5368036211976,2026-08-09T13:20:13,c074d6b
hgb,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_iter"": 100}",1382,292,1.6086422272966,0.5700310273607214,22982.942081086618,68.74020194265489,2026-08-09T13:20:13,c074d6b
dummy,{},2480,568,4.146125131888536,-0.0006464554628746733,17074.44899584844,87.8203175814911,2026-08-09T13:52:28,3c40012
ridge,"{""model__alpha"": 1.0}",2480,568,2.030811800431622,0.5098737821044828,14895.683607399227,76.16763476467234,2026-08-09T13:52:28,3c40012
hgb,"{""model__learning_rate"": 0.1, ""model__max_depth"": null, ""model__max_iter"": 100}",2480,568,1.6847379606125163,0.5933969634190027,14296.888352482338,67.918350771537,2026-08-09T13:52:28,3c40012
dummy,{},2480,568,4.146125131888536,-0.0006464554628746733,17074.44899584844,87.8203175814911,2026-08-09T14:11:24,7a469e7
ridge,"{""model__alpha"": 1.0}",2480,568,2.030811800431622,0.5098737821044828,14895.683607399227,76.16763476467234,2026-08-09T14:11:24,7a469e7
hgb,"{""model__learning_rate"": 0.1, ""model__max_depth"": null, ""model__max_iter"": 100}",2480,568,1.6847379606125163,0.5933969634190027,14296.888352482338,67.918350771537,2026-08-09T14:11:24,7a469e7
dummy,{},2480,568,4.146125131888536,-0.0006464554628746733,17074.44899584844,87.8203175814911,2026-08-09T14:29:44,1fb7cbd
ridge,"{""model__alpha"": 1.0}",2480,568,2.006905858962697,0.515643360888152,14768.698537299855,75.05094399579912,2026-08-09T14:29:44,1fb7cbd
